	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
HLA-H	318	298	203	258	328	252	495	323	327	339	299	149	247	458	527	207
HLA-J	85	59	52	67	68	78	146	64	93	76	76	40	77	127	130	71
HLA-L	157	150	90	126	209	135	305	196	128	166	152	76	98	248	276	118
HLCS	1240	1043	753	1205	847	638	1381	991	814	954	808	515	457	817	870	427
HLF	1	1	0	1	4	4	5	5	4	5	9	6	8	21	24	2
HLTF	2319	2110	1499	2325	3052	2766	5042	3800	784	958	913	617	1322	1910	1988	1077
HLTF-AS1	104	81	70	94	138	114	239	161	33	45	48	26	36	91	103	37
HLX	46	54	32	49	43	23	58	54	4	4	7	1	2	11	6	3
HLX-AS1	6	5	2	3	5	3	7	5	2	0	0	0	0	2	1	4
HM13	6950	6065	4041	6809	7700	6017	12823	9745	5521	6302	5417	3239	4777	9530	11042	4526
HM13-AS1	24	20	23	32	17	17	38	36	24	16	21	12	16	17	29	8
HMBOX1	602	466	305	465	293	210	451	313	392	525	468	350	289	515	575	305
HMBS	1845	1647	1027	1744	2117	1694	3772	2631	612	680	590	291	513	969	1125	477
HMCES	2517	2118	1449	2409	2402	1995	4068	3072	1531	1739	1499	821	1207	2393	2524	1210
HMCN1	13	11	6	17	9	3	10	10	1	6	1	3	2	7	3	3
HMCN2	6	9	4	4	2	0	5	3	4	6	3	6	5	6	6	2
HMG20A	1987	1681	1185	1922	1161	1049	2007	1496	447	474	484	402	217	419	385	217
HMG20B	3001	2436	1586	2473	2874	2138	5219	3542	2292	2706	2219	1269	1542	3010	3387	1410
HMGA1	15530	13073	8283	13365	12559	9318	21873	16246	12913	15735	13466	7351	7753	14876	17498	7197
HMGA1P7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGA2	4181	2864	2195	3468	1747	1363	2898	2056	2557	2713	2788	2185	1392	1571	1745	870
HMGB1	11612	9456	6471	10654	9702	7854	16374	12111	8971	10247	8950	6453	7852	11683	12188	5918
HMGB2	12813	10921	7997	12690	15418	12717	25407	18636	3108	3449	3343	2091	3207	5291	5480	2809
HMGB3	4608	3996	2527	4235	4162	3393	7401	5307	1701	1905	1704	938	1569	2863	3031	1449
HMGB3P1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
HMGB4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGCL	415	385	266	427	350	308	652	474	768	881	722	439	526	1024	1102	475
HMGCLL1	2	1	3	3	0	0	2	2	0	0	4	0	1	3	2	0
HMGCR	10138	8366	6188	9827	4895	4313	8819	6425	1933	1903	2055	1405	1227	2089	2078	1033
HMGCS1	10700	8937	6609	10796	7005	6161	13104	9409	2431	2618	2601	1504	2098	3325	3831	1746
HMGCS2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
HMGN1	5003	3886	2707	4552	4789	4022	9176	5864	3764	4199	3996	2399	3606	6475	6700	3267
HMGN2	9292	7502	5527	8818	3978	3123	7000	5272	7228	9020	7863	4222	1440	3135	3523	1449
HMGN2P46	12	9	15	8	7	9	13	10	2	8	6	4	2	10	9	5
HMGN3	2408	1988	1348	2326	2393	2014	3908	3063	2118	2290	2041	1759	2440	3162	3185	1602
HMGN3-AS1	512	444	306	512	541	401	859	636	445	496	477	264	392	664	730	310
HMGN4	3548	2859	2143	3351	1052	995	1870	1395	1934	2260	2179	1516	576	891	951	513
HMGN5	1129	1174	825	1362	1523	1388	2319	1821	1860	1805	1890	953	1968	2703	2863	1468
HMGXB3	4864	4094	2807	4336	4312	3586	7288	4974	1818	2111	1837	1211	1432	2811	2940	1493
HMGXB4	2052	1769	1131	1893	1277	1116	2214	1605	208	265	261	208	199	367	413	236
HMHA1	2441	2139	1366	2028	1857	1326	3198	2291	1288	1419	1207	584	673	1215	1337	563
HMHB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMMR	5208	4131	1849	2706	4618	4045	7514	5593	1212	1339	617	424	1599	2053	2295	1210
HMMR-AS1	819	695	312	505	814	683	1346	934	205	233	106	63	239	379	447	218
HMOX1	205	153	59	98	158	121	194	170	8	8	6	6	16	15	29	10
HMOX2	3544	3010	1985	3338	2881	2234	4994	3733	2001	2283	1887	1133	1355	2556	2677	1241
HMP19	0	1	0	1	0	0	0	0	2	5	3	3	2	7	5	2
HMSD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMX2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMX3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN1	8705	6954	4955	8790	3315	2684	5727	4474	4893	6373	5323	2689	1074	2421	2498	1041
HN1L	9923	7840	6113	9647	8304	6681	13793	10329	6541	7954	7089	4247	5284	9362	9862	4618
HNCAT21	1	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0
HNF1A	53	43	28	41	34	32	76	51	41	43	27	27	13	47	39	16
HNF1A-AS1	0	0	1	0	0	0	1	0	5	9	4	3	3	3	5	4
HNF1B	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0
HNF4A	5	4	4	3	3	1	7	1	0	2	2	2	0	4	1	1
HNF4A-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNF4G	14	5	9	7	1	4	5	4	0	3	2	5	3	0	3	0
HNMT	2	0	5	5	3	0	3	3	4	6	1	1	1	5	1	0
HNRNPA0	11880	9736	6602	10372	8462	6312	14579	10868	3470	3882	3576	1939	2265	4123	4717	2101
HNRNPA1	51740	44029	29995	49796	2285	1731	3856	2842	39027	42331	41020	25555	153	329	316	157
HNRNPA1L2	341	276	219	320	169	133	301	200	81	119	78	64	34	79	64	42
HNRNPA1P10	12	9	8	11	1	7	5	17	14	14	15	7	7	12	16	4
HNRNPA1P33	4	1	3	2	0	1	0	2	0	0	0	0	1	1	1	0
HNRNPA2B1	64594	54811	38735	62233	79257	64954	132433	98457	51585	58735	55247	34606	60241	100190	107852	50908
HNRNPA3	13363	11247	7767	12334	19060	14872	31599	24036	7846	8597	7970	5030	11314	18267	20157	9322
HNRNPA3P1	1	3	3	5	5	5	6	4	2	4	2	0	2	7	8	2
HNRNPAB	23441	18179	13049	21208	18538	14656	34498	23013	10473	12544	11294	6714	7827	14423	15351	6918
HNRNPC	26545	21497	14959	24507	19225	15902	31722	22612	23009	27392	24574	14824	12934	24930	24968	12221
HNRNPCL1	2	2	3	5	3	3	1	3	2	3	8	1	0	6	5	1
HNRNPCL2	4	1	0	1	4	2	2	6	1	6	4	1	3	5	9	3
HNRNPCL3	0	0	1	1	0	2	0	0	1	0	1	0	1	1	0	0
HNRNPCL4	0	0	1	1	0	2	0	0	1	0	1	0	1	1	0	0
HNRNPD	12509	10261	7240	11398	11291	8973	20063	14413	3721	4379	3876	2290	2799	5026	5204	2410
HNRNPDL	11310	9176	6927	11066	9315	7685	16767	12364	1348	1527	1638	1073	1048	1747	1995	943
HNRNPF	19653	16419	11378	18377	15353	12321	26367	19372	5909	6845	6197	3823	4311	7501	7663	3632
HNRNPH1	20173	15567	11553	17546	15109	11669	23840	18492	12018	13195	13005	8401	8758	12939	14036	6568
HNRNPH2	3658	3021	2155	3407	3004	2494	4997	3703	2272	2549	2456	1868	1798	2732	2850	1378
HNRNPH3	6747	5419	4146	6568	9552	7494	15770	11830	4136	4435	4445	2747	5260	8970	9447	4513
HNRNPK	39634	32815	22093	35772	31771	26130	52981	38992	26671	31426	27516	18205	19624	34085	35767	17117
HNRNPKP3	7	13	3	8	10	6	12	10	2	3	4	3	5	9	10	3
HNRNPL	14041	11473	7495	12200	11523	9478	19353	14755	5802	7153	5477	3134	3960	7708	8364	3587
HNRNPLL	1479	1155	832	1466	1053	834	1749	1278	456	449	439	263	260	404	418	194
HNRNPM	19248	16212	11352	17645	12137	9929	21113	15705	12610	14532	12853	7270	6221	12353	13539	5966
HNRNPR	12650	10270	7385	11253	8890	7546	14829	10786	5581	6338	5791	3748	3877	6035	6454	2909
HNRNPU	41757	32063	23522	37153	30600	24507	54779	37796	18429	21371	19237	12074	11680	21020	22606	10792
HNRNPU-AS1	3930	3056	2233	3225	3915	3251	5705	4589	1849	1878	1752	1384	2054	2676	2964	1485
HNRNPUL1	12393	10131	6681	10808	11204	8661	18638	13562	5236	6250	5466	3082	3974	7232	7817	3497
HNRNPUL2	9181	7653	5301	8402	5761	4668	10212	7251	4137	4691	4130	2452	2216	4198	4529	2161
HNRNPUL2-BSCL2	8279	6916	4755	7556	5598	4475	10038	6973	4373	4892	4287	2547	2499	4918	5375	2427
HOGA1	31	44	31	48	24	18	31	22	46	54	38	23	13	36	45	20
HOMER1	1224	950	689	1127	984	824	1541	1138	212	250	216	163	290	366	332	194
HOMER2	822	677	484	761	929	715	1675	1206	581	709	590	332	526	1059	1067	523
HOMER3	1899	1575	985	1540	1353	1043	2343	1656	1011	1164	1009	467	452	922	1129	492
HOMEZ	591	422	325	488	513	404	776	625	198	195	172	113	246	411	438	208
HOOK1	1519	1259	842	1343	1440	1145	2306	1765	596	697	581	393	754	986	1104	565
HOOK2	1163	999	687	917	861	755	1484	1083	751	844	721	363	395	785	880	389
HOOK3	1899	1586	1082	1674	1232	1023	1891	1394	544	690	655	528	528	708	807	400
HOPX	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0
HORMAD1	0	0	1	0	1	0	0	0	0	3	0	0	1	1	1	2
HORMAD2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HORMAD2-AS1	52	46	37	50	41	34	67	35	18	24	16	12	6	22	24	9
HOTAIR	52	25	15	36	33	28	59	46	44	46	37	26	35	54	72	32
HOTAIRM1	479	338	245	413	388	265	544	441	301	306	257	137	131	269	296	155
HOTS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOTTIP	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
HOXA-AS2	99	84	51	81	66	54	107	75	50	48	60	27	32	79	92	41
HOXA-AS3	24	14	9	17	23	17	42	28	10	13	12	3	11	22	27	8
HOXA1	292	244	172	273	341	253	551	379	78	71	72	46	86	127	127	65
HOXA10	524	396	301	469	351	289	651	415	132	154	149	88	95	176	171	91
HOXA10-AS	321	272	201	307	269	193	479	299	92	91	109	47	61	144	133	64
HOXA10-HOXA9	660	516	415	661	321	305	508	421	162	205	182	127	110	195	187	90
HOXA11	20	12	17	13	12	5	20	18	4	7	4	7	2	4	14	4
HOXA11-AS	5	3	2	2	1	1	6	4	8	9	8	2	7	11	15	4
HOXA13	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
HOXA2	240	159	133	204	150	117	195	198	45	42	56	34	57	74	83	52
HOXA3	660	523	237	392	466	323	746	546	94	101	77	44	80	121	147	67
HOXA4	232	196	108	189	158	137	296	208	161	139	122	48	76	203	162	94
HOXA5	1168	855	537	845	811	648	1470	918	108	78	76	29	99	151	163	82
HOXA6	21	22	11	25	13	19	30	19	1	2	1	0	2	5	4	0
HOXA7	8	8	6	9	9	5	15	16	8	7	6	2	6	12	9	6
HOXA9	802	616	485	770	403	344	662	502	195	231	222	140	116	216	233	104
HOXB-AS1	33	31	18	19	20	15	47	28	42	59	29	41	26	48	58	27
HOXB-AS3	9	8	7	6	8	6	10	9	1	2	0	1	1	2	3	0
HOXB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HOXB13	30	23	21	28	26	27	31	33	6	12	8	2	6	9	13	6
HOXB2	132	90	62	117	42	22	67	48	56	52	57	35	22	31	38	22
HOXB3	157	186	96	164	122	80	181	143	161	148	144	148	78	146	170	70
HOXB4	107	81	52	88	62	54	91	58	25	21	32	22	23	39	32	18
HOXB5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HOXB6	39	37	38	45	20	23	50	45	3	5	3	1	8	4	5	1
HOXB7	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
HOXB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB9	23	16	11	19	14	10	18	14	13	12	3	7	4	4	3	3
HOXC-AS1	18	16	19	17	12	3	17	13	15	28	12	5	5	11	16	2
HOXC-AS2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
HOXC-AS3	1	1	0	1	2	1	2	0	0	0	1	0	0	2	2	0
HOXC10	5	7	8	7	7	11	21	10	3	4	3	0	0	7	5	3
HOXC11	139	136	76	135	115	81	218	153	54	53	33	23	28	42	61	29
HOXC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HOXC13	319	240	202	271	380	260	632	457	128	127	115	81	100	197	201	105
HOXC13-AS	103	77	62	74	109	69	168	149	115	129	113	65	64	145	170	55
HOXC4	66	61	38	54	60	39	72	51	23	25	21	16	14	27	37	16
HOXC5	165	171	110	159	121	93	155	125	79	105	66	45	32	61	91	39
HOXC6	367	311	203	330	202	178	379	293	144	132	129	83	66	148	154	72
HOXC8	520	407	285	415	244	198	427	337	100	125	72	57	43	80	89	27
HOXC9	348	294	176	302	197	151	381	273	180	178	161	91	91	163	173	81
HOXD-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD1	0	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0
HOXD10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD12	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HOXD13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HP	0	1	0	1	0	0	0	0	0	1	6	0	1	2	5	2
HP09025	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0
HP09053	449	366	303	448	531	383	876	635	339	394	344	209	245	536	538	270
HP1BP3	8129	6371	4837	7531	8363	6500	13191	9652	6168	7498	7038	4837	5357	8743	9432	4514
HPCA	11	5	2	7	1	7	3	2	7	11	7	4	2	10	4	5
HPCAL1	3562	3018	1945	3115	2884	2200	4808	3715	2434	2773	2235	1102	1345	2758	2996	1225
HPCAL4	11	11	6	13	13	11	24	15	6	10	15	11	14	13	10	11
HPD	5	3	4	2	3	6	11	9	3	7	4	2	4	11	8	4
HPDL	206	163	125	191	167	114	270	190	41	46	46	13	33	59	73	22
HPGD	52	50	52	61	43	36	66	39	24	45	58	42	43	59	38	29
HPGDS	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	1
HPN	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0
HPN-AS1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0
HPR	1	0	0	1	1	1	0	1	0	0	1	0	0	1	3	1
HPRT1	2630	2182	1456	2436	1602	1391	2850	2304	2092	2458	2170	1667	1247	1933	1995	958
HPS1	1034	879	658	997	1101	905	1886	1394	1097	1332	1150	693	796	1489	1715	759
HPS3	1554	1268	884	1436	1231	1053	2051	1536	701	856	756	501	647	1005	1005	508
HPS4	1424	1185	859	1233	1016	811	1594	1167	548	610	515	338	335	676	639	342
HPS5	1991	1578	1209	1795	1589	1328	2545	1879	1135	1285	1197	757	1068	1968	2004	981
HPS6	1868	1438	974	1637	1263	999	2492	1739	278	264	234	121	217	404	469	232
HPSE	566	421	318	568	707	564	1145	829	470	633	560	310	597	1036	1064	517
HPSE2	0	1	0	1	0	0	0	1	2	0	0	0	0	1	1	1
HPVC1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HPX	2	4	1	1	1	0	2	4	14	13	26	14	5	11	11	9
HPYR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HR	1324	1053	789	1133	2596	1692	4417	3490	691	894	720	403	1240	2313	2352	941
HRAS	2747	2287	1431	2499	2241	1803	3704	2961	2456	2678	2317	1240	1406	2738	3035	1199
HRASLS	11	7	1	8	11	8	16	18	7	7	7	8	6	18	13	15
HRASLS2	7	4	4	6	3	4	7	3	11	9	8	7	8	9	12	7
HRASLS5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRAT13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRAT17	1	2	4	4	2	0	3	1	6	1	7	1	3	0	1	1
HRAT5	6	2	1	1	8	3	5	3	2	4	3	3	3	2	9	3
HRAT56	0	1	0	2	0	0	1	0	0	0	1	0	1	0	0	0
HRAT92	8	9	5	6	12	5	11	6	25	26	33	18	9	14	28	12
HRC	0	0	0	1	0	1	0	4	4	0	2	0	0	4	2	0
HRCT1	374	306	189	310	150	135	244	192	73	55	40	30	35	57	59	14
HRG	4	6	2	4	7	3	9	8	0	1	1	0	1	1	3	2
HRH1	404	302	245	403	379	329	699	485	102	159	150	99	135	228	224	117
HRH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HRH3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HRH4	3	5	2	5	5	6	5	3	9	7	6	4	14	9	5	4
HRK	88	78	47	63	65	40	80	58	31	29	25	14	21	39	47	12
HRNR	34	25	18	48	35	20	52	32	23	35	48	48	39	78	105	49
HRSP12	774	618	471	728	798	739	1390	1042	830	948	835	687	1064	1231	1404	692
HS1BP3	478	447	225	443	499	431	748	504	300	354	274	162	194	440	447	194
HS1BP3-IT1	3	5	5	8	4	5	6	2	1	6	4	1	4	4	2	2
HS2ST1	1379	1127	815	1232	1236	1086	2097	1651	652	747	666	545	827	994	1044	508
HS3ST1	47	31	24	35	34	24	38	41	3	1	1	1	1	0	1	1
HS3ST2	0	2	0	0	1	0	1	0	1	3	2	1	0	0	0	0
HS3ST3A1	426	321	184	297	382	328	768	429	46	57	54	32	52	74	105	66
HS3ST3B1	196	135	98	143	169	122	262	200	18	25	20	15	25	44	40	17
HS3ST4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HS3ST5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HS3ST6	2	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0
HS6ST1	1497	1250	863	1255	1462	1077	2415	1677	411	477	421	306	383	689	707	321
HS6ST2	2272	1880	1323	2148	2075	1572	3246	2519	1346	1579	1429	1178	1423	1845	1950	969
HS6ST2-AS1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
HS6ST3	11	3	4	7	1	1	7	10	1	1	2	2	1	1	2	0
HSBP1	5506	4654	3275	5489	4044	3414	6732	5137	6626	7747	7056	5087	4420	6997	7385	3737
HSBP1L1	847	590	412	752	729	542	1411	875	555	654	655	360	368	825	873	384
HSCB	320	269	140	294	340	285	580	400	260	290	276	167	247	381	388	178
HSD11B1	16	9	7	16	10	8	11	7	12	17	11	8	12	11	15	12
HSD11B1L	84	79	52	64	56	28	91	61	55	52	39	21	17	49	44	27
HSD11B2	128	112	67	99	127	98	199	167	90	151	98	56	80	175	207	96
HSD17B1	1441	1271	739	1124	827	676	1416	1036	1066	1099	954	554	396	806	935	370
HSD17B10	2822	2668	1739	2973	3489	2738	5852	4453	3070	3597	2994	1752	2508	5011	5474	2241
HSD17B11	447	332	218	443	508	386	892	591	200	241	221	203	239	347	348	148
HSD17B12	5203	4138	2751	4514	3923	3332	6432	4881	4187	4864	4570	4153	4881	5386	5742	2733
HSD17B13	3	2	0	3	4	3	6	3	1	5	1	1	2	1	2	0
HSD17B14	2	4	1	1	3	0	1	5	6	4	4	3	13	7	8	3
HSD17B2	411	375	211	354	173	169	256	178	319	312	284	174	107	176	157	86
HSD17B3	0	2	2	1	0	0	0	1	3	1	6	7	3	3	5	4
HSD17B4	4974	4362	3088	5006	5134	4367	8392	6353	4140	5015	4502	2694	3833	6855	7031	3371
HSD17B6	40	45	42	57	69	44	104	72	40	52	47	42	60	98	101	45
HSD17B7	906	736	533	860	584	475	1001	724	379	394	387	258	221	486	508	248
HSD17B7P2	35	35	28	38	15	20	61	34	9	11	7	6	6	9	11	6
HSD17B8	151	144	105	144	223	177	424	306	153	188	160	92	149	345	341	162
HSD3B1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HSD3B2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1
HSD3B7	321	302	177	266	202	159	345	288	225	255	239	109	147	251	318	133
HSD3BP4	1	4	0	0	0	1	2	0	0	1	0	0	1	2	0	1
HSD52	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
HSDL1	755	597	390	666	683	565	1144	849	470	518	441	340	470	699	767	393
HSDL2	1885	1588	1085	1840	1680	1469	2838	2076	1487	1911	1728	1250	1443	2173	2425	1147
HSF1	3581	2913	2092	3140	3011	2266	5159	3611	2219	2708	2275	1270	1431	2947	3238	1382
HSF2	715	625	417	734	496	454	804	620	147	136	128	95	77	155	154	83
